// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	StatusWord	ClippingFlags	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Pressure	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	Temperature	GyrTemp_X	GyrTemp_Y	GyrTemp_Z	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber	
23911	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.280994	-0.213497	10.345455	0.003361	0.001627	0.538785	0.002289	-0.004387	-0.005341	0.163086	0.028809	-0.680664	0.002808	-0.002136	0.103455	0.999999	0.000011	-0.000022	-0.000027	100264.0000	0.998056	-0.056271	0.026808	0.056836	0.998167	-0.020812	-0.025587	0.022296	0.999424	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23912	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.274889	-0.213672	10.302638	-0.000916	0.001647	0.495832	-0.004578	0.002861	0.003052	0.162842	0.028809	-0.672119	0.002750	-0.002134	0.103026	1.000000	-0.000023	0.000014	0.000015	100270.0000	0.998058	-0.056241	0.026778	0.056807	0.998167	-0.020859	-0.025556	0.022340	0.999424	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23913	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.281502	-0.214214	10.339323	0.002433	0.003219	0.532684	-0.011444	-0.014305	-0.000763	0.160156	0.031250	-0.672119	0.002808	-0.002136	0.103394	0.999999	-0.000057	-0.000072	-0.000004	100270.0000	0.998054	-0.056246	0.026922	0.056818	0.998164	-0.020973	-0.025693	0.022462	0.999418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23914	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.282490	-0.209484	10.314823	0.004255	0.008924	0.508125	-0.014114	-0.005722	-0.002289	0.155273	0.026611	-0.677002	0.002822	-0.002088	0.103148	0.999999	-0.000071	-0.000029	-0.000011	100268.0000	0.998051	-0.056267	0.026979	0.056844	0.998160	-0.021114	-0.025742	0.022606	0.999413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23915	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.250224	-0.214029	10.345451	-0.028611	0.007368	0.537960	-0.007629	0.000191	0.009155	0.155273	0.026611	-0.668457	0.002502	-0.002136	0.103455	0.999999	-0.000038	0.000001	0.000046	100268.0000	0.998056	-0.056176	0.026975	0.056755	0.998163	-0.021192	-0.025735	0.022682	0.999411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23916	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.274770	-0.214383	10.375878	-0.005596	0.005662	0.569039	0.001907	-0.004005	0.000572	0.157715	0.028809	-0.677490	0.002746	-0.002145	0.103759	1.000000	0.000010	-0.000020	0.000003	100264.0000	0.998056	-0.056169	0.027015	0.056749	0.998164	-0.021173	-0.025776	0.022665	0.999411	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23917	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.287719	-0.207289	10.351543	0.005972	0.011006	0.544921	0.004578	-0.016594	0.004578	0.157959	0.026611	-0.674316	0.002869	-0.002075	0.103516	0.999999	0.000023	-0.000083	0.000023	100264.0000	0.998054	-0.056120	0.027180	0.056702	0.998168	-0.021129	-0.025945	0.022629	0.999407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23918	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.282628	-0.201356	10.314836	0.002651	0.017553	0.507969	-0.006294	-0.002861	-0.002289	0.157715	0.026611	-0.668701	0.002825	-0.002010	0.103148	1.000000	-0.000031	-0.000014	-0.000011	100258.0000	0.998052	-0.056142	0.027209	0.056726	0.998165	-0.021191	-0.025970	0.022693	0.999405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23919	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.280321	-0.213778	10.333261	0.000644	0.005760	0.526584	-0.003052	0.008583	-0.002289	0.155029	0.031250	-0.677246	0.002808	-0.002136	0.103333	0.999999	-0.000015	0.000043	-0.000011	100258.0000	0.998053	-0.056167	0.027124	0.056750	0.998163	-0.021221	-0.025882	0.022719	0.999407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
23920	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-64.0000	0.255560	-0.220405	10.327138	-0.025182	0.001186	0.519933	-0.005722	-0.003242	0.001335	0.157959	0.024170	-0.671387	0.002554	-0.002201	0.103271	1.000000	-0.000029	-0.000016	0.000007	100268.0000	0.998053	-0.056153	0.027156	0.056738	0.998162	-0.021279	-0.025911	0.022778	0.999405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
