// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (34.3)
// Firmware Version: 2.1.4
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	StatusWord	ClippingFlags	RSSI	Acc_X	Acc_Y	Acc_Z	FreeAcc_X	FreeAcc_Y	FreeAcc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	VelInc_X	VelInc_Y	VelInc_Z	OriInc_q0	OriInc_q1	OriInc_q2	OriInc_q3	Pressure	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z	Temperature	GyrTemp_X	GyrTemp_Y	GyrTemp_Z	TrigIn1_Polarity	TrigIn1_Timestamp	TrigIn1_FrameNumber	TrigIn2_Polarity	TrigIn2_Timestamp	TrigIn2_FrameNumber	
22336	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.270142	-0.177312	10.320936	0.007975	0.045922	0.513201	-0.002289	-0.008583	0.000572	0.160400	0.028564	-0.679932	0.002697	-0.001772	0.103209	1.000000	-0.000011	-0.000043	0.000003	100264.0000	0.995017	-0.096313	0.025779	0.096878	0.995061	-0.021660	-0.023565	0.024050	0.999433	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22337	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.244794	-0.201819	10.333229	-0.021316	0.025504	0.525357	-0.007629	-0.012779	0.006866	0.157471	0.035889	-0.674561	0.002441	-0.002014	0.103333	0.999999	-0.000038	-0.000064	0.000034	100264.0000	0.995021	-0.096242	0.025905	0.096812	0.995065	-0.021738	-0.023685	0.024138	0.999428	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22338	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.233563	-0.178891	10.327026	-0.030378	0.051976	0.518353	-0.019836	-0.007629	0.005341	0.157715	0.031006	-0.674316	0.002332	-0.001779	0.103271	0.999999	-0.000099	-0.000038	0.000027	100270.0000	0.995024	-0.096187	0.025980	0.096764	0.995066	-0.021938	-0.023742	0.024343	0.999422	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22339	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.262201	-0.171377	10.308836	0.000451	0.056549	0.500752	-0.009155	0.004768	0.005341	0.162842	0.028564	-0.674561	0.002625	-0.001709	0.103088	0.999999	-0.000046	0.000024	0.000027	100270.0000	0.995030	-0.096135	0.025931	0.096713	0.995068	-0.022031	-0.023685	0.024429	0.999421	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22340	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.249715	-0.190737	10.253799	-0.012800	0.038416	0.445845	-0.011063	-0.000954	0.005913	0.157715	0.026367	-0.674072	0.002497	-0.001902	0.102538	1.000000	-0.000055	-0.000005	0.000030	100262.0000	0.995036	-0.096076	0.025939	0.096657	0.995071	-0.022143	-0.023684	0.024540	0.999418	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22341	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.262475	-0.183349	10.284419	-0.000128	0.045451	0.476614	-0.004578	-0.000572	0.006104	0.165771	0.026123	-0.680176	0.002625	-0.001831	0.102844	0.999999	-0.000023	-0.000003	0.000031	100262.0000	0.995042	-0.096015	0.025944	0.096597	0.995076	-0.022190	-0.023685	0.024586	0.999417	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22342	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.274788	-0.208216	10.296530	0.009083	0.019986	0.489589	-0.002480	-0.002480	-0.002480	0.162842	0.033447	-0.677734	0.002747	-0.002081	0.102965	1.000000	-0.000012	-0.000012	-0.000012	100274.0000	0.995039	-0.096039	0.025969	0.096622	0.995073	-0.022214	-0.023708	0.024613	0.999416	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22343	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.256529	-0.213986	10.357654	-0.011411	0.018503	0.550330	-0.006866	-0.003624	0.006104	0.157715	0.031006	-0.677246	0.002563	-0.002136	0.103577	0.999999	-0.000034	-0.000018	0.000031	100274.0000	0.995044	-0.095978	0.026004	0.096563	0.995077	-0.022284	-0.023737	0.024685	0.999413	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22344	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.269319	-0.238666	10.308733	-0.001228	-0.009131	0.502321	0.002670	-0.009346	0.002861	0.163086	0.028564	-0.677246	0.002688	-0.002388	0.103087	1.000000	0.000013	-0.000047	0.000014	100268.0000	0.995044	-0.095947	0.026097	0.096534	0.995081	-0.022258	-0.023833	0.024667	0.999412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22345	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.274683	-0.238476	10.339345	0.003939	-0.007296	0.533051	-0.008392	-0.000572	0.003815	0.157715	0.028809	-0.671387	0.002747	-0.002380	0.103394	0.999999	-0.000042	-0.000003	0.000019	100268.0000	0.995048	-0.095909	0.026101	0.096498	0.995082	-0.022343	-0.023830	0.024751	0.999410	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22346	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.281203	-0.251363	10.266002	0.009642	-0.022378	0.460212	-0.003242	-0.008583	-0.000954	0.157959	0.026367	-0.676758	0.002808	-0.002512	0.102660	1.000000	-0.000016	-0.000043	-0.000005	100264.0000	0.995045	-0.095916	0.026187	0.096508	0.995081	-0.022375	-0.023913	0.024792	0.999407	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22347	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.317405	-0.244229	10.369870	0.044252	-0.016112	0.564807	-0.001526	-0.000572	0.006104	0.157715	0.028809	-0.674072	0.003174	-0.002441	0.103699	0.999999	-0.000008	-0.000003	0.000031	100264.0000	0.995051	-0.095855	0.026192	0.096447	0.995086	-0.022392	-0.023917	0.024808	0.999406	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22348	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.299039	-0.232387	10.394187	0.026726	-0.001281	0.588362	-0.004959	0.000572	0.003052	0.162842	0.028564	-0.674561	0.002991	-0.002321	0.103942	1.000000	-0.000025	0.000003	0.000015	100268.0000	0.995054	-0.095824	0.026185	0.096418	0.995088	-0.022443	-0.023906	0.024856	0.999405	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22349	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.281151	-0.189324	10.400378	0.011741	0.043636	0.593114	-0.002289	-0.007439	-0.003052	0.160400	0.028564	-0.674316	0.002808	-0.001892	0.104004	0.999999	-0.000011	-0.000037	-0.000015	100268.0000	0.995049	-0.095853	0.026260	0.096449	0.995084	-0.022465	-0.023978	0.024886	0.999403	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22350	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.263538	-0.195768	10.320938	-0.005043	0.037381	0.513402	-0.003242	-0.006294	0.001335	0.159912	0.035889	-0.669189	0.002632	-0.001956	0.103209	1.000000	-0.000016	-0.000031	0.000007	100264.0000	0.995049	-0.095839	0.026323	0.096437	0.995085	-0.022497	-0.024038	0.024925	0.999400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22351	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.274597	-0.183321	10.357664	0.006830	0.050048	0.550114	-0.003815	0.000954	0.012970	0.162842	0.033447	-0.677734	0.002747	-0.001831	0.103577	0.999999	-0.000019	0.000005	0.000065	100264.0000	0.995061	-0.095710	0.026311	0.096309	0.995096	-0.022539	-0.024024	0.024962	0.999400	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22352	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-66.0000	0.256351	-0.184105	10.284314	-0.010150	0.050591	0.476339	-0.010109	-0.003815	0.002098	0.157715	0.028809	-0.674072	0.002562	-0.001836	0.102843	0.999999	-0.000051	-0.000019	0.000010	100258.0000	0.995063	-0.095688	0.026348	0.096291	0.995096	-0.022640	-0.024053	0.025066	0.999396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
22353	    0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	0	-65.0000	0.274884	-0.201890	10.321030	0.005300	0.032981	0.513922	-0.009155	-0.004387	0.000763	0.160400	0.031006	-0.677246	0.002747	-0.002014	0.103210	0.999999	-0.000046	-0.000022	0.000004	100258.0000	0.995062	-0.095680	0.026392	0.096286	0.995094	-0.022732	-0.024087	0.025161	0.999393	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	
